destination_id,date,tourist_volume,capacity,tourism_score,water_score,waste_score,traffic_score,environment_score,day_of_week,is_weekend,month,season_code,current_pressure,lag_pressure_1d,lag_pressure_7d_avg,rolling_mean_3d,future_pressure_score,is_synthetic
mussoorie,2024-01-01,16471,15000,86.7,73.5,71.8,90.4,60.9,0,0,1,0,78.41,80.4,80.4,80.4,72.41,1
mussoorie,2024-01-02,11898,15000,81.1,69.6,67.3,84.8,58.1,1,0,1,0,73.71,78.41,80.12,79.74,69.3,1
mussoorie,2024-01-03,12360,15000,90.5,76.2,74.8,94.2,62.8,2,0,1,0,81.58,73.71,79.16,77.51,86.79,1
mussoorie,2024-01-04,12341,15000,83.0,70.9,68.8,86.7,59.0,3,0,1,0,75.26,81.58,79.33,77.9,78.86,1
mussoorie,2024-01-05,14370,15000,85.8,72.9,71.1,89.5,60.4,4,0,1,0,77.67,75.26,78.59,76.85,68.05,1
mussoorie,2024-01-06,14546,15000,100.0,82.8,82.9,100.0,61.4,5,1,1,0,88.42,77.67,78.2,78.17,77.93,1
mussoorie,2024-01-07,16721,15000,98.8,78.6,78.1,100.0,58.4,6,1,1,0,85.74,88.42,79.35,80.45,75.99,1
mussoorie,2024-01-08,14370,15000,82.8,70.8,68.6,86.5,58.9,0,0,1,0,75.12,85.74,80.11,83.94,71.06,1
mussoorie,2024-01-09,15004,15000,83.1,71.0,68.9,86.8,59.0,1,0,1,0,75.37,75.12,79.64,83.09,70.25,1
mussoorie,2024-01-10,11798,15000,82.9,70.8,68.7,86.6,58.9,2,0,1,0,75.21,75.37,79.88,78.74,81.81,1
mussoorie,2024-01-11,11949,15000,82.9,70.8,68.7,86.6,58.9,3,0,1,0,75.2,75.21,78.97,75.23,83.52,1
mussoorie,2024-01-12,16892,15000,83.1,71.0,68.9,86.8,59.1,4,0,1,0,75.4,75.2,78.96,75.26,69.98,1
mussoorie,2024-01-13,15837,15000,100.0,82.8,82.9,100.0,61.4,5,1,1,0,88.43,75.4,78.64,75.27,78.59,1
mussoorie,2024-01-14,14886,15000,100.0,87.6,88.4,100.0,64.9,6,1,1,0,91.06,88.43,78.64,79.68,85.66,1
mussoorie,2024-01-15,12405,15000,87.6,74.1,72.5,91.3,61.3,0,0,1,0,79.12,91.06,79.4,84.96,73.53,1
mussoorie,2024-01-16,12656,15000,81.5,69.8,67.6,85.2,58.2,1,0,1,0,74.01,79.12,79.97,86.2,65.74,1
mussoorie,2024-01-17,13014,15000,83.4,71.2,69.1,87.1,59.2,2,0,1,0,75.61,74.01,79.78,81.4,82.36,1
mussoorie,2024-01-18,15816,15000,81.0,69.5,67.2,84.7,58.0,3,0,1,0,73.66,75.61,79.83,76.25,78.86,1
mussoorie,2024-01-19,11189,15000,82.6,70.6,68.5,86.3,58.8,4,0,1,0,74.98,73.66,79.61,74.43,70.92,1
mussoorie,2024-01-20,18967,15000,100.0,82.2,82.2,100.0,61.0,5,1,1,0,88.1,74.98,79.55,74.75,82.62,1
mussoorie,2024-01-21,19786,15000,99.1,78.7,78.3,100.0,58.5,6,1,1,0,85.91,88.1,79.51,78.91,78.35,1
mussoorie,2024-01-22,11142,15000,79.7,68.6,66.2,83.4,57.4,0,0,1,0,72.55,85.91,78.77,83.0,69.75,1
mussoorie,2024-01-23,15391,15000,81.1,69.6,67.3,84.8,58.1,1,0,1,0,73.73,72.55,77.83,82.19,66.06,1
mussoorie,2024-01-24,14983,15000,87.9,74.3,72.7,91.6,61.5,2,0,1,0,79.4,73.73,77.79,77.4,83.86,1
mussoorie,2024-01-25,16568,15000,86.3,73.2,71.4,90.0,60.6,3,0,1,0,78.02,79.4,78.33,75.23,80.86,1
